Colonna 1,Colonna 2,ID,coreografia,brano,autore,richieste,info livello,info coreo 1,info coreo 2,studiate,coreografo,collaboratori,descrizione coreo
,,192,GO CAT GO,please mama please,go cat go,4,ALTRE COREO
,,193,GO HOME,you're drunk go home,kelsea ballerini,2,ALTRE COREO,,,,Gianni Hook Valassi
,,194,GOD IS GOOD,god is good,paul overstreet,4,ALTRE COREO
,,195,GOING GOING GONE,going going gone,maddie poppe,4,SUPER AVANZATO 1+2
,,196,GOLIATH,goliath,smith & thell,4,ALTRE COREO,,,,Tomasz & Angela,,32 conteggi 2 muri
,,197,GONE FOR YOU,"gone, gone, gone",phillip phillips,2,SUPER AVANZATO 1+2,,,,Stefano Civa
,,198,GOOD THINGS,good things,keith urban,4,ALTRE COREO
,,199,GOTCHA,movin' on,the crazy bulls band,2,ALTRE COREO
,,200,GRAVITY,gravity,stephen kellog & the sixers,4,AVANZATO 1,,,,The Dreamers,,32 conteggi 2 muri (Tag al 2°muro di 14 conteggi) [Restart al 5° 7° e 9° muro sempre dopo 8 conteggi]
,,201,GREAT GAMBLE,losing at loving,blue county,2,ALTRE COREO
,,202,GROOVY LOVE,if jesus love me,saint lanvain,2,ALTRE COREO
,,203,GROWING PAINS,grawing pains,breland,2,ALTRE COREO,,,,Johnny Rossato
,,204,WALKIN' THE LINE,blown away,carrie underwood,12,BASE,,,,Unknown,,26 conteggi 4 muri
,,205,HALLELUL Y'ALL,halleluy'all,bomshel,2,INTERMEDIO,,,,Chris Jones,,32 conteggi 4 muri
,,206,HALLELUJAH,joy's gonna come,the kingsmen,2,AVANZATO 1,,,,Adriano Castagnoli,,68 conteggi 2 muri
,,207,HAND SHAKE,do you wanna?,kyle shobe & the walk 'em boys,2,ALTRE COREO
,,208,HEADS OR TAILS,she had me (at heads carolina),cole swindell,2,AVANZATO 2,,,,Pol F. Ryan,,32 counts 2 muri intro 10+16 3 restart final
,,209,HEADIN WEST,headin' west,daly stephenson,4,ALTRE COREO
,,210,HEART ATTACK,heart attack,boy named banjo,4,ALTRE COREO,,,,Stefano Civa
,,211,HEAVEN ON DIRT,heaven on dirt,doc walker,4,ALTRE COREO
,,212,HEEL TOE POLKA,barn dance,mark geslison & geoff groberg,2,BASE,COPPIA,CERCHIO,,Unknown,,32 conteggi (couple and circle)
,,213,HEYDAY TONIGHT,heyday tonight,aaron watson,4,ALTRE COREO,CONTRA
,,214,HILLBILLY GIRL,hillbilly girl,lisa mchugh,4,ALTRE COREO
,,215,HOLD,maybe i shouldn't,matt borden,2,AVANZATO 1,,,,Jgor Pasin,,96 conteggi A B A B A (32 conteggi) A (32 conteggi) B B A 16 conteggi)
,,216,HOLD ON TO ME,hold on to me,music travel love,4,AVANZATO 2,,,,Pol F. Ryan,,32 conteggi 4 muri 4 restart
,,217,HOLD YOUR HORSES,hold your horses,e type,4,ALTRE COREO
,,218,HOLLY'S CHURCH,my church,maren morris,2,AVANZATO 2,,,,Mario & Lilly Hollnsteiner,,64 conteggi 4 muri
,,219,HONEY SWEET HONEY,honey honey,derek ryan & lisa mchugh,2,ALTRE COREO
,,220,HONKY TONK WAY,i see country,ian munsick,2,ALTRE COREO,,,,Purvis & Paulino,,32 conteggi 4 muri
,,221,HURRY UP SLOW DOWN,"hurry up, slow down",don derby,4,ALTRE COREO
,,222,I BELIEVE IN YOU,i believe in you,ward thomas,4,ALTRE COREO
,,223,I TELL YOU WANT,i told you so,keith urban,2,ALTRE COREO
,,224,INFINITY,fiddle,bomshel,2,ALTRE COREO,,,,David Villelas
,,225,IRISH CHANGE,tell me ma,sham rock,2,BASE,COPPIA,CERCHIO,,,,32 conteggi (couple and circle)
,,226,IRISH SPIRIT,celtic rock,david king,2,SUPER AVANZATO 1+2
,,227,IRISH STEW,american land,bruce springsteen,12,BASE,,,,Lois Lightfoot,,32 conteggi 4 muri
,,228,IRISH STEW,cowboy yodel song,cliona hagan,12,BASE,,,,Lois Lightfoot,,32 conteggi 4 muri
,,229,IRISH STEW,cowboy's sweetheart,leann rimes,12,BASE,,,,Lois Lightfoot,,32 conteggi 4 muri
,,230,IRISH STEW,irish stew,sham rock,12,BASE,,,,Lois Lightfoot,,32 conteggi 4 muri
,,231,IRISH STEW,the merry christmas polka,jim reeves,12,BASE,NATALIZIA,,,Lois Lightfoot,,32 conteggi 4 muri
,,232,ISLANDS IN THE STREAM,islands in the stream,dolly parton,4,ALTRE COREO,COPPIA
,,233,IT HAPPENS,it happens,sugarland,4,SUPER AVANZATO 3
,,234,IT'S ALRIGHT,it's alright to be a redneck,alan jackson,2,ALTRE COREO
,,235,IT'S AMERICA,it's america,rodney atkins,4,INTERMEDIO,,,,Gaye Teather,,32 conteggi 4 muri
,,236,IT'S EASY,you lied to me,wynonna judd,2,ALTRE COREO
,,237,ITALIAN LINE DANCE,italian line dance crowd,george mc anthony,2,ALTRE COREO,,,,Jgor Pasin
,,238,JACK DANIEL'S,favorite state of mind,josh gracin,2,SUPER AVANZATO 1+2
,,239,JACKET JOE,trapper jacket joe,george mc anthony,2,AVANZATO 1,,,,Esther & José,,32 conteggi 4 muri 5Tag 1restart
,,240,JR,all you need is me,joey + rory,2,ALTRE COREO
,,241,JUMPING JAMBOREE,dephine,ranchhands,2,ALTRE COREO
,,242,JUST A GIRL,just a girl,lady antebellum,4,AVANZATO 2,,,,Séverine Fillion,Arnaud Marraffa,32 conteggi 2 muri
,,243,KENTUCKY CLOVER,billy the kid,chris ledoux,4,INTERMEDIO,,,,Ray Bus,,32 conteggi 4 muri
,,244,KENTUCKY CLOVER,it's not ok,zac brown band,4,INTERMEDIO,,,,Ray Bus,,32 conteggi 4 muri
