Colonna 1;Colonna 2;ID;coreografia;brano;autore;richieste;info livello;info coreo 1;info coreo 2;studiate;coreografo;collaboratori;descrizione coreo
;;146;DON'T MAKE ME BEG;don't make me beg;steve holy;;SUPER AVANZATO 1+2;;;;;;2 muri  frasata Parte A (32 counts) B (32 counts ) C (32 counts) SEQUENZA    A A B B C A A B B C C C A B B C C C
;;147;DOUBLE DUTCH;some beach;blake shelton;;ALTRE COREO;COPPIA;CERCHIO;STUDIATA;;;
;;148;DRIVEN;driven;casey james;;ALTRE COREO;;;;;;
;;149;DUTY FREE;natural disaster;zac brown band;;AVANZATO 2;;;;Esther & José;;A 20c B 38c C 16c 1muro [A BB A BB(24) CCC BB(24)]
;;150;EASY COME EASY GO;hillbilly rock hillibilly roll;die campbell;;ALTRE COREO;;;;;;
;;151;EASY TWIST;anyone can play;gle campbell;;ALTRE COREO;;;;;;
;;152;EASY WAY;just be you;billy yates;;ALTRE COREO;;;;;;
;;153;EIGHT SECOND RIDE;eight second ride;jake owen;;ALTRE COREO;;;;;;
;;154;ELECTRIC SLIDE;achy breaky heart;billy ray;;BASE;;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;155;ELECTRIC SLIDE;jingle bell rock;rascal flatts;;BASE;NATALIZIA;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;156;ELECTRIC SLIDE;let me be there;nathan carter;;BASE;;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;157;ELECTRIC STOMP;long road to nashville;the woolpackers;;ALTRE COREO;;;;;;24 conteggi 4 muri
;;158;ENDLESS;less and less;travis tritt;;ALTRE COREO;;;;;;
;;159;EVERY STAR;even the stars fall for you;keith urban;;ALTRE COREO;COPPIA;;;;;
;;160;FAKE ID;fake id;big & rich;;SUPER AVANZATO 1+2;;;;;;
;;161;FEEL THE MOMENT;walla walla prison;scotty alexander;;SUPER AVANZATO 1+2;;;;David Villelas;;
;;162;FIFTY TWO BEERS AGO;beers ago;toby keith;;INTERMEDIO;;;RECENTE;Séverine Fillion;;32 conteggi 4 muri (Restart al 5° muro dopo 24 conteggi)
;;163;FIGHT;fight!;lee dewyze;;AVANZATO 2;;;STUDIATA;Teo Lattanzio;;Intro 8 tempi (A32 B16 Tag1 44 Tag2 24) 2 muri [AA Tag1 AAAA BB Tag2 A BBB B Final] 
;;164;FINE;fine;the abrams;;ALTRE COREO;;;;;;
;;165;FIREBALL;fireball;pitbull;;ALTRE COREO;;;;;;
;;166;FIRST STOMP;cotton eyed joe;rednex;;BASE;STAGE;;RECENTE;Emma D'Adamo;;16 conteggi 4 muri
;;167;FIRST STOMP;old pop in a oak;rednex;;BASE;STAGE;;RECENTE;Emma D'Adamo;;16 conteggi 4 muri
;;168;FIVE MINUTES;texas as hell;miranda lambert;;ALTRE COREO;COPPIA;;;David Villelas;;
;;169;FLASHDANCE;still in love with you;travis tritt;;AVANZATO 1;;;;Debbie Hogg;;64 conteggi 2 muri
;;170;FLICK FLAK;freag flag;alex williams;;ALTRE COREO;;;;;;
;;171;FLOBIE SLIDE;i'm holdin'on to love;shania twain;;ALTRE COREO;;;;;;
;;172;FLOWERS;flowers;miley cyrus;;AVANZATO 2;;;STUDIATA;Vanna Zerlotin;;32 conteggi 2 muri
;;173;FOOLISH HEART;mary;zac brown band;;AVANZATO 1;;;;David Villelas;;80 conteggi 4 muri 
;;174;FOOTLOOSE;footloose;blake shelton;;INTERMEDIO;;;RECENTE;Rob Fowler;;48 conteggi 4 muri 
;;175;FOR BETTER FOR WORSE;for better for worse;old man markley;;ALTRE COREO;;;;;;
;;176;FOREVER;27 in the checking;kendall shaffer;;ALTRE COREO;;;;;;
;;177;FOREVER YOUNG;young forever;high valley;;ALTRE COREO;;;;;;
;;178;FORGIVE ME FRIEND;forgive me friend;smith & thell;;AVANZATO 1;;;STUDIATA;Helena Jeppsson;;32 conteggi 4 muri restart al 9° e 10° muro sempre dopo 30 conteggi
;;179;FOUR STAR BOOGIE;get over it;eagles;;ALTRE COREO;;;;;;
;;180;FRENCH KISS;our first kiss;jeff wood;;ALTRE COREO;;;;;;
;;181;FRIENDS;you've been a friend to me;bryan adams;;AVANZATO 2;;;;Ambros Sillero;;64 conteggi 2 muri
;;182;FROM A TO Z;trip around the sound;kenny chesney;;ALTRE COREO;;;;;;
;;183;FUNNY JOKE;no night like this;cath purcell;;ALTRE COREO;;;STUDIATA;Bruno Morel;;16 conteggi 4 muri
;;184;GALWAY GATHERING;games people play;tracy bird;;ALTRE COREO;;;;;;
;;185;GAME ON;justin sayin;james parker band;;ALTRE COREO;;;;;;
;;186;GET ALONG;get along;surrender hill;;SUPER AVANZATO 3;;;;Jgor Pasin;;32 conteggi 4 muri (1 restart al 4° muro dopo 24 conteggi e 1 restart all' 8° muro dopo 8 conteggi)
;;187;GET UP !;up;olly murs;;SUPER AVANZATO 1+2;;;;;;
;;188;GHOST TOWN;ghost town;sam outlaw;;BASE;;;RECENTE;Arnaud Marraffa;;32 conteggi 4 muri 1 restart all' 11° muro
;;189;GIDDY UP!;giddy up!;shania twain;;ALTRE COREO;;;;Fabio Terzoni;Big Andrea;
;;190;GIVES ME SHIVERS;shivers;ed sheeran;;ALTRE COREO;;;;Brandon Zahorsky;;32 conteggi 4 muri
;;191;GLASS OF WINE;cry to me;kilotile;;BASE;;;RECENTE;Malene Jakobsen;;32 conteggi 4 muri
;;192;GO CAT GO;please mama please;go cat go;;ALTRE COREO;;;STUDIATA;;;
;;193;GO HOME;you're drunk go home;kelsea ballerini;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;194;GOD IS GOOD;god is good;paul overstreet;;ALTRE COREO;;;;;;
;;195;GOING GOING GONE;going going gone;maddie poppe;;SUPER AVANZATO 1+2;;;;;;
;;196;GOLIATH;goliath;smith & thell;;ALTRE COREO;;;;Tomasz & Angela;;32 conteggi 2 muri
;;197;GONE FOR YOU;gone, gone, gone;phillip phillips;;SUPER AVANZATO 1+2;;;;Stefano Civa;;
;;198;GOOD THINGS;good things;keith urban;;ALTRE COREO;;;;;;
;;199;GOTCHA;movin' on;the crazy bulls band;;ALTRE COREO;;;;;;
;;200;GRAVITY;gravity;stephen kellog & the sixers;;AVANZATO 1;;;;The Dreamers;;32 conteggi 2 muri (Tag al 2°muro di 14 conteggi) [Restart al 5° 7° e 9° muro sempre dopo 8 conteggi]
;;201;GREAT GAMBLE;losing at loving;blue county;;ALTRE COREO;;;;;;
;;202;GROOVY LOVE;if jesus love me;saint lanvain;;ALTRE COREO;;;;;;
;;203;GROWING PAINS;grawing pains;breland;;ALTRE COREO;;;;Johnny Rossato;;
;;204;WALKIN' THE LINE;blown away ;carrie underwood;;BASE;;;RECENTE;Unknown;;26 conteggi 4 muri
;;205;HALLELUL Y'ALL;halleluy'all;bomshel;;INTERMEDIO;;;STUDIATA;Chris Jones;;32 conteggi 4 muri
;;206;HALLELUJAH;joy's gonna come;the kingsmen;;AVANZATO 1;;;;Adriano Castagnoli;;68 conteggi 2 muri
;;207;HAND SHAKE;do you wanna?;kyle shobe & the walk 'em boys;;ALTRE COREO;;;;;;
;;208;HEADS OR TAILS;she had me (at heads carolina);cole swindell;;AVANZATO 2;;;;Pol F. Ryan;;32 counts 2 muri intro 10+16 3 restart final 
;;209;HEADIN WEST;headin' west;daly stephenson;;ALTRE COREO;;;;;;
;;210;HEART ATTACK;heart attack;boy named banjo;;ALTRE COREO;;;;Stefano Civa;;
